,Gender,Age,Annual Income (k$),Spending Score (1-100),Income Cluster,Spending and Income Cluster
183,Female,29,98,88,0,2
184,Female,41,99,39,0,3
185,Male,30,99,97,0,2
186,Female,54,101,24,0,3
187,Male,28,101,68,0,2
188,Female,41,103,17,0,3
189,Female,36,103,85,0,2
190,Female,34,103,23,0,3
191,Female,32,103,69,0,2
192,Male,33,113,8,0,3
193,Female,38,113,91,0,2
194,Female,47,120,16,0,3
195,Female,35,120,79,0,2
196,Female,45,126,28,0,3
197,Male,32,126,74,0,2
198,Male,32,137,18,0,3
199,Male,30,137,83,0,2
